2.0000000000000	131.83727341940
2.1000000000000	129.09322984176
2.2000000000000	126.28954446288
2.3000000000000	123.42201877317
2.4000000000000	120.48615487953
2.5000000000000	117.47713644147
2.6000000000000	114.38980966362
2.7000000000000	111.21866485235
2.8000000000000	107.95781922112
2.9000000000000	104.60100185180
3.0000000000000	101.14154199567
3.1000000000000	97.572362238148
3.2000000000000	93.885978462604
3.3000000000000	90.074509038652
3.4000000000000	86.129696229378
3.5000000000000	82.042943455594
3.6000000000000	77.805372753156
3.7000000000000	73.407907473416
3.8000000000000	68.841385939092
3.9000000000000	64.096712271434
4.0000000000000	59.165050792464
4.1000000000000	54.038070061908
4.2000000000000	48.708241454075
4.3000000000000	43.169194886333
4.4000000000000	37.416130532533
4.5000000000000	31.446279798072
4.6000000000000	25.259401367694
4.7000000000000	18.858288948882
4.8000000000000	12.249257101545
4.9000000000000	5.4425615900941
5.0000000000000	-1.5472969792688
5.1000000000000	-8.7014403510695
5.2000000000000	-15.996700286122
5.3000000000000	-23.405962693063
5.4000000000000	-30.898781194259
5.5000000000000	-38.442242855281
5.6000000000000	-46.002035991585
5.7000000000000	-53.543640917339
5.8000000000000	-61.033545642827
5.9000000000000	-68.440384386798
6.0000000000000	-75.735908443067
6.1000000000000	-82.895723680074
6.2000000000000	-89.899761093420
6.3000000000000	-96.732479632094
6.4000000000000	-103.38282812112
6.5000000000000	-109.84401188017
6.6000000000000	-116.11311858060
6.7000000000000	-122.19065814502
6.8000000000000	-128.08006548570
6.9000000000000	-133.78720534366
7.0000000000000	-139.31990783394
7.1000000000000	-144.68755324991
7.2000000000000	-149.90071623276
7.3000000000000	-154.97087296317
7.4000000000000	-159.91017055915
7.5000000000000	-164.73125510473
7.6000000000000	-169.44715333695
7.7000000000000	-174.07120262290
7.8000000000000	-178.61702415710
7.9000000000000	176.90146494427
8.0000000000000	172.47000395560
8.1000000000000	168.07390738911
8.2000000000000	163.69795124490
8.3000000000000	159.32622622326
8.4000000000000	154.94195611740
8.5000000000000	150.52727823904
8.6000000000000	146.06298135120
8.7000000000000	141.52819522994
8.8000000000000	136.90002473733
8.9000000000000	132.15312034502
9.0000000000000	127.25917674888
9.1000000000000	122.18635219069
9.2000000000000	116.89860444989
9.3000000000000	111.35494705127
9.4000000000000	105.50864413608
9.5000000000000	99.306389621613
9.6000000000000	92.687563399712
9.7000000000000	85.583735618222
9.8000000000000	77.918714412026
9.9000000000000	69.609618737680
10.000000000000	60.569713550600
10.100000000000	50.714042833954
10.200000000000	39.969122915181
10.300000000000	28.287825696068
10.400000000000	15.669550386773
10.500000000000	2.1831883935723
10.600000000000	-12.013858567909
10.700000000000	-26.671338989590
10.800000000000	-41.466396338789
10.900000000000	-56.048787274203
11.000000000000	-70.097021463869
11.100000000000	-83.363866152004
11.200000000000	-95.696575169503
11.300000000000	-107.03188038173
11.400000000000	-117.37592876561
11.500000000000	-126.78040808914
11.600000000000	-135.32188902979
11.700000000000	-143.08686757883
11.800000000000	-150.16225229785
11.900000000000	-156.63000871668
12.000000000000	-162.56459681735
12.100000000000	-168.03211997573
12.200000000000	-173.09043748708
12.300000000000	-177.78976544966
12.400000000000	177.82651736368
12.500000000000	173.72101775571
12.600000000000	169.86151344179
12.700000000000	166.22021380076
12.800000000000	162.77310932401
12.900000000000	159.49940974530
13.000000000000	156.38106435056
13.100000000000	153.40235531313
13.200000000000	150.54955430881
13.300000000000	147.81063311622
13.400000000000	145.17501982525
13.500000000000	142.63339334749
13.600000000000	140.17750998334
13.700000000000	137.80005677606
13.800000000000	135.49452724128
13.900000000000	133.25511579756
14.000000000000	131.07662784599
14.100000000000	128.95440296696
14.200000000000	126.88424913432
14.300000000000	124.86238620401
14.400000000000	122.88539722931
14.500000000000	120.95018639727
14.600000000000	119.05394258155
14.700000000000	117.19410767147
14.800000000000	115.36834897374
14.900000000000	113.57453509583
15.000000000000	111.81071481338
15.100000000000	110.07509850130
15.200000000000	108.36604177313
15.300000000000	106.68203102612
15.400000000000	105.02167063519
15.500000000000	103.38367157570
15.600000000000	101.76684128690
15.700000000000	100.17007461392
15.800000000000	98.592345688689
15.900000000000	97.032700628508
16.000000000000	95.490250946777
16.100000000000	93.964167583569
16.200000000000	92.453675474559
16.300000000000	90.958048586025
16.400000000000	89.476605351022
16.500000000000	88.008704447858
16.600000000000	86.553740866580
16.700000000000	85.111142212576
16.800000000000	83.680365198472
16.900000000000	82.260892276327
17.000000000000	80.852228361552
17.100000000000	79.453897597899
17.200000000000	78.065440108913
17.300000000000	76.686408675187
17.400000000000	75.316365267917
17.500000000000	73.954877356974
17.600000000000	72.601513894854
17.700000000000	71.255840854982
17.800000000000	69.917416171799
17.900000000000	68.585783887826
18.000000000000	67.260467255179
18.100000000000	65.940960459504
18.200000000000	64.626718523714
18.300000000000	63.317144793531
18.400000000000	62.011575185718
18.500000000000	60.709258060886
18.600000000000	59.409328115795
18.700000000000	58.110771994852
18.800000000000	56.812382266839
18.900000000000	55.512694783814
19.000000000000	54.209901864623
19.100000000000	52.901729577261
19.200000000000	51.585260462125
19.300000000000	50.256671158607
19.400000000000	48.910833344401
19.500000000000	47.540687649370
19.600000000000	46.136225776468
19.700000000000	44.682765989598
19.800000000000	43.157887461735
19.900000000000	41.525665030464
20.000000000000	39.725096216622
